,OperatingUnit,AASpecialist,AwardTitle,AwardDescription,Sector,Code,AmountRange,Incumbent,AwardActionType,SmallBusinessSetAside,FiscalYearofAction,AnticipatedAwardDate_raw,AnticipatedSolicitationReleaseDate_raw,AwardLength,SolicitationNumber,BusinessForecastStatusChange,Location,LastModifiedDate_raw,BaseAmount,CeilingAmount,AnticpatedAwardDate,AnticipatedSolicitationReleaseDate,LastModifiedDate
1,"Bureau for Democracy, Conflict and Humanitarian Assistance (DCHA)",Michael Kwaw,EISM Empowerment and Inclusion Support Mechanism,"The purpose of this activity is to support USAID’s goal of promoting inclusive development through the establishment of an umbrella Empowerment and Inclusion Solicitation and Management (EISM) mechanism. In particular, the activity will focus on reducing risks to and reinforcing the capacities of communities, NGOs, and governments to provide services, to protect and promote the rights of vulnerable and marginalized populations, and to expand access to opportunities that support their full participation in society. The award will support a range of management, technical, and administrative tasks to achieve and sustain progress in reaching vulnerable and marginalized populations in developing countries. This will include support for: improved access to quality services; training; local capacity development; legal and policy reform; evaluation, research and dissemination of findings; and support for co-creation processes, workshops, and meetings.","Democracy, Human Rights, and Governance",,$50M - $99.99M,TBD,Cooperative Agreement,,2017.0,10/09/2017,5/22/2017,5 years,,Cancellation,Washington,10/06/2017,50000000.0,99990000.0,2017-10-09,2017-05-22,2017-10-06
2,"Bureau for Democracy, Conflict and Humanitarian Assistance (DCHA)",Rachel Baltes,FY17 Global Reconciliation Fund,"Multiple awards of varying length with an individual award value of less than $1.5M each are anticipated to support people-to-people activities that mitigate conflict and promote reconciliation by bringing together individuals of different ethnic, religious, or political backgrounds from areas of civil conflict and war in the following specific countries: Bangladesh, Bosnia-Herzegovina, Central African Republic, Colombia, Democratic Republic of Congo, Georgia, Liberia, Indonesia, Nigeria, Peru, South Africa and Thailand.",Working in Crises and Conflict,,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/30/2018,4/04/2017,3 years,RFA-OAA-17-000011,Combination of Changes,Washington,10/06/2017,10000000.0,24990000.0,2018-09-30,2017-04-04,2017-10-06
3,"Bureau for Democracy, Conflict and Humanitarian Assistance (DCHA)",Rachel Baltes,FY18 Global Reconciliation Fund,"Multiple awards of varying length with an individual award value of no more than $1.5M each are anticipated to support people-to-people activities that mitigate conflict and promote reconciliation by bringing together individuals of different ethnic, religious, or political backgrounds in the following specific countries: Bosnia-Herzegovina, Burkina Faso, Colombia, Ethiopia, Georgia, Honduras, Jamaica, Kenya, Kosovo, Macedonia, Mali, Niger, and Senegal.",Working in Crises and Conflict,,$10M - $24.99M,,Collaborative Agreement,,2018.0,9/30/2019,3/05/2018,3 years,7200AA18RFA00008,New Opportunity Not Previously Forecasted,Washington,3/02/2018,10000000.0,24990000.0,2019-09-30,2018-03-05,2018-03-02
4,"Bureau for Democracy, Conflict and Humanitarian Assistance (DCHA)",Rachel Baltes,IT Solutions,IT Solutions,"Democracy, Human Rights, and Governance",,$4M - $9.99M,,Contract,Total set-aside,2019.0,9/30/2019,10/01/2018,,,Change in Anticipated Solicitation Date,Washington,3/02/2018,4000000.0,9999000.0,2019-09-30,2018-10-01,2018-03-02
5,Bureau for Food Security (FS),Paul Burford,Advancing Women's Empowerment Framework (AWEF),Gender Program Mechanism,Agriculture and Food Security,,$10M - $24.99M,,GSA Task/Delivery Order (GSA TO/DO),TBD,2018.0,9/30/2018,4/09/2018,5 years,,,Washington,3/01/2018,10000000.0,24990000.0,2018-09-30,2018-04-09,2018-03-01
6,Bureau for Food Security (FS),Charles Jackson,FTFIL: Capacity Development for Agriculture Innovation Systems (New),To develop and pilot a comprehensive toolkit for designing and monitoring Capacity Development for Agriculture Innovation Systems (CDAIS).,Agriculture and Food Security,,"$500,000 - $999,999",New Requirement,Cooperative Agreement,,2018.0,9/28/2018,3/01/2018,2 years,,New Opportunity Not Previously Forecasted,Washington,10/26/2017,500000.0,999999.0,2018-09-28,2018-03-01,2017-10-26
7,Bureau for Food Security (FS),Charles Jackson,FTFIL: Fish (New),FTFIL: Fish (New),Agriculture and Food Security,,$10M - $24.99M,Oregon State University,Cooperative Agreement,,2018.0,9/28/2018,3/01/2018,,,New Opportunity Not Previously Forecasted,Washington,1/25/2018,10000000.0,24990000.0,2018-09-28,2018-03-01,2018-01-25
8,Bureau for Food Security (FS),Charles Jackson,FTFIL: Grain Legumes (NEW),Feed the Future Grain Legumes,Agriculture and Food Security,,$25M - $49.99M,Michigan State University,Cooperative Agreement,,2018.0,9/28/2018,2/16/2018,,,New Opportunity Not Previously Forecasted,Washington,10/26/2017,25000000.0,49990000.0,2018-09-28,2018-02-16,2017-10-26
9,Bureau for Food Security (FS),Abib Oussantidja,Food Security Service Center Follow-on,Food Security Service Center Follow on,Agriculture and Food Security,,$25M - $49.99M,Social Impact,Contract,TBD,2018.0,9/30/2018,4/03/2017,5 years,,New Opportunity Not Previously Forecasted,Washington,3/01/2018,25000000.0,49990000.0,2018-09-30,2017-04-03,2018-03-01
10,Bureau for Food Security (FS),TBD,"Knowledge, Data, Learning, and Training (KDLT)",,Agriculture and Food Security,,$25M - $49.99M,Insight Systems,To Be Determined (TBD),TBD,2018.0,9/30/2018,4/23/2018,,,,Washington,3/01/2018,25000000.0,49990000.0,2018-09-30,2018-04-23,2018-03-01
